LOAD DATASET
read csv...ready [31.107 sec] !
Xy convertion...
ready [0.519 sec] !
SPLIT DATASET
ready [2.131 sec]!
train: 64340, 64340, Counter({3: 19180, 1: 17014, 2: 15099, 0: 13047})
eval: 16086, 16086, Counter({3: 4795, 1: 4254, 2: 3775, 0: 3262})
START TRAINING
39:	learn: 0.8442648	test: 0.8188487	best: 0.8189109 (38)	total: 787ms	remaining: 18.9s
40:	learn: 0.8464252	test: 0.8204028	best: 0.8204028 (40)	total: 806ms	remaining: 18.8s
41:	learn: 0.8475288	test: 0.8219570	best: 0.8219570 (41)	total: 824ms	remaining: 18.8s
42:	learn: 0.8485390	test: 0.8233868	best: 0.8233868 (42)	total: 843ms	remaining: 18.8s
43:	learn: 0.8499845	test: 0.8225165	best: 0.8233868 (42)	total: 862ms	remaining: 18.7s
44:	learn: 0.8509792	test: 0.8245058	best: 0.8245058 (44)	total: 881ms	remaining: 18.7s
45:	learn: 0.8521449	test: 0.8246923	best: 0.8246923 (45)	total: 899ms	remaining: 18.6s
46:	learn: 0.8530619	test: 0.8255626	best: 0.8255626 (46)	total: 918ms	remaining: 18.6s
47:	learn: 0.8545539	test: 0.8269924	best: 0.8269924 (47)	total: 937ms	remaining: 18.6s
48:	learn: 0.8555642	test: 0.8266194	best: 0.8269924 (47)	total: 954ms	remaining: 18.5s
49:	learn: 0.8564967	test: 0.8271167	best: 0.8271167 (49)	total: 972ms	remaining: 18.5s
50:	learn: 0.8575847	test: 0.8269302	best: 0.8271167 (49)	total: 989ms	remaining: 18.4s
51:	learn: 0.8591079	test: 0.8276141	best: 0.8276141 (51)	total: 1.01s	remaining: 18.4s
52:	learn: 0.8588747	test: 0.8291682	best: 0.8291682 (52)	total: 1.02s	remaining: 18.3s
53:	learn: 0.8597762	test: 0.8289817	best: 0.8291682 (52)	total: 1.04s	remaining: 18.3s
54:	learn: 0.8609263	test: 0.8299764	best: 0.8299764 (54)	total: 1.06s	remaining: 18.2s
55:	learn: 0.8613771	test: 0.8297899	best: 0.8299764 (54)	total: 1.08s	remaining: 18.1s
56:	learn: 0.8624339	test: 0.8315927	best: 0.8315927 (56)	total: 1.09s	remaining: 18.1s
57:	learn: 0.8638638	test: 0.8309710	best: 0.8315927 (56)	total: 1.11s	remaining: 18.1s
58:	learn: 0.8649363	test: 0.8315305	best: 0.8315927 (56)	total: 1.13s	remaining: 18s
59:	learn: 0.8655269	test: 0.8324630	best: 0.8324630 (59)	total: 1.15s	remaining: 18s
60:	learn: 0.8663196	test: 0.8331468	best: 0.8331468 (60)	total: 1.17s	remaining: 18s
61:	learn: 0.8676873	test: 0.8335198	best: 0.8335198 (61)	total: 1.18s	remaining: 17.9s
62:	learn: 0.8680448	test: 0.8327117	best: 0.8335198 (61)	total: 1.2s	remaining: 17.9s
63:	learn: 0.8685421	test: 0.8339550	best: 0.8339550 (63)	total: 1.22s	remaining: 17.8s
64:	learn: 0.8687131	test: 0.8339550	best: 0.8339550 (63)	total: 1.24s	remaining: 17.8s
65:	learn: 0.8691949	test: 0.8348253	best: 0.8348253 (65)	total: 1.25s	remaining: 17.7s
66:	learn: 0.8697078	test: 0.8348253	best: 0.8348253 (65)	total: 1.27s	remaining: 17.7s
67:	learn: 0.8702829	test: 0.8355713	best: 0.8355713 (67)	total: 1.29s	remaining: 17.7s
68:	learn: 0.8712465	test: 0.8358821	best: 0.8358821 (68)	total: 1.31s	remaining: 17.6s
69:	learn: 0.8715884	test: 0.8361930	best: 0.8361930 (69)	total: 1.32s	remaining: 17.6s
70:	learn: 0.8729562	test: 0.8365660	best: 0.8365660 (70)	total: 1.34s	remaining: 17.6s
71:	learn: 0.8732981	test: 0.8378093	best: 0.8378093 (71)	total: 1.36s	remaining: 17.5s
72:	learn: 0.8741996	test: 0.8376849	best: 0.8378093 (71)	total: 1.38s	remaining: 17.5s
73:	learn: 0.8744172	test: 0.8379336	best: 0.8379336 (73)	total: 1.39s	remaining: 17.4s
74:	learn: 0.8751010	test: 0.8378714	best: 0.8379336 (73)	total: 1.41s	remaining: 17.4s
75:	learn: 0.8753497	test: 0.8375606	best: 0.8379336 (73)	total: 1.43s	remaining: 17.3s
76:	learn: 0.8761424	test: 0.8381823	best: 0.8381823 (76)	total: 1.44s	remaining: 17.3s
